# WerkstattArchiv Log-Datei
# Diese Datei wird automatisch beim Programmstart erstellt
# Alle wichtigen Events werden hier protokolliert

[2025-11-14 21:15:17] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:15:19] INFO     | Log-System gestartet
[2025-11-14 21:16:40] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:16:41] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:16:42] INFO     | Log-System gestartet
[2025-11-14 21:18:59] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:18:59] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:19:00] INFO     | Log-System gestartet
[2025-11-14 21:19:11] INFO     | Anwendung wird beendet
[2025-11-14 21:19:20] INFO     | Anwendung wird beendet
[2025-11-14 21:21:40] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:21:40] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:21:41] INFO     | Log-System gestartet
[2025-11-14 21:24:27] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:24:27] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:24:28] INFO     | Log-System gestartet
[2025-11-14 21:24:40] INFO     | Anwendung wird beendet
[2025-11-14 21:24:43] INFO     | Anwendung wird beendet
[2025-11-14 21:26:12] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:26:12] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:26:12] INFO     | Log-System gestartet
[2025-11-14 21:26:24] INFO     | Anwendung wird beendet
[2025-11-14 21:27:16] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:27:16] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:27:16] INFO     | Log-System gestartet
[2025-11-14 21:29:19] INFO     | Anwendung wird beendet
[2025-11-14 21:29:23] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:29:23] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:29:23] INFO     | Log-System gestartet
[2025-11-14 21:33:58] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:33:59] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:33:59] INFO     | Log-System gestartet
[2025-11-14 21:34:04] INFO     | Anwendung wird beendet
[2025-11-14 21:40:09] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:40:09] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:40:10] INFO     | Log-System gestartet
[2025-11-14 21:40:16] INFO     | Anwendung wird beendet
[2025-11-14 21:43:22] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:43:22] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:43:23] INFO     | Log-System gestartet
[2025-11-14 21:43:48] INFO     | Anwendung wird beendet
[2025-11-14 21:44:09] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:44:09] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:44:10] INFO     | Log-System gestartet
[2025-11-14 21:44:17] INFO     | Anwendung wird beendet
[2025-11-14 21:46:01] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:46:02] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:46:02] INFO     | Log-System gestartet
[2025-11-14 21:46:08] INFO     | Anwendung wird beendet
[2025-11-15 06:21:56] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 06:21:56] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 06:21:57] INFO     | Log-System gestartet
[2025-11-15 06:22:32] INFO     | Anwendung wird beendet
[2025-11-15 06:43:52] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 06:43:52] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 06:43:53] INFO     | Log-System gestartet
[2025-11-15 06:44:05] INFO     | Anwendung wird beendet
[2025-11-15 06:52:35] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 06:52:35] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 06:52:35] INFO     | Log-System gestartet
[2025-11-15 06:55:13] INFO     | Anwendung wird beendet
[2025-11-15 07:02:29] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:02:29] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:02:30] INFO     | Log-System gestartet
[2025-11-15 07:03:22] INFO     | Anwendung wird beendet
[2025-11-15 07:07:03] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:07:03] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:07:04] INFO     | Log-System gestartet
[2025-11-15 07:08:08] INFO     | Anwendung wird beendet
[2025-11-15 07:10:00] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:10:01] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:10:01] INFO     | Log-System gestartet
[2025-11-15 07:10:22] INFO     | Anwendung wird beendet
[2025-11-15 07:11:37] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:11:38] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:11:38] INFO     | Log-System gestartet
[2025-11-15 07:12:02] INFO     | Anwendung wird beendet
[2025-11-15 07:14:12] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:14:13] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:14:13] INFO     | Log-System gestartet
[2025-11-15 07:15:15] INFO     | Anwendung wird beendet
[2025-11-15 07:15:41] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:15:41] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:15:41] INFO     | Log-System gestartet
[2025-11-15 07:16:35] INFO     | Anwendung wird beendet
[2025-11-15 07:16:54] INFO     | Erstelle Einstellungen-Tab
[2025-11-15 07:16:55] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-15 07:16:55] INFO     | Log-System gestartet
[2025-11-15 07:18:41] INFO     | Anwendung wird beendet
[2025-11-15 07:22:21] INFO     | Erstelle Einstellungen-Tab
